strategy,ts_code,params,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration
loss_protection,159566.SZ,"max_losses=2, pause_bars=10",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=2, pause_bars=15",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=3, pause_bars=5",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=3, pause_bars=10",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=3, pause_bars=15",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=4, pause_bars=5",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=4, pause_bars=10",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
loss_protection,159566.SZ,"max_losses=4, pause_bars=15",66.25182465999998,1.0713445188093078,-15.24261367135945,37.5,8,43 days
combined,159566.SZ,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",65.14261133999993,1.1954203653150157,-13.899653701755932,37.5,8,35 days
base,159783.SZ,"n1=10, n2=20",10.295720020000063,0.15338514255857277,-36.850468166421415,31.818181818181817,22,28 days
trailing_stop,159783.SZ,trailing_stop_pct=0.03,30.68662340000008,0.5597881243512877,-17.79859047154153,50.0,12,17 days
trailing_stop,159783.SZ,trailing_stop_pct=0.05,41.17195272000003,0.6371711753112398,-20.44023120326267,50.0,12,23 days
trailing_stop,159783.SZ,trailing_stop_pct=0.07,46.74306112000004,0.696383954352833,-20.297681562615356,54.54545454545454,11,26 days
loss_protection,159783.SZ,"max_losses=2, pause_bars=5",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=2, pause_bars=10",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=2, pause_bars=15",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=3, pause_bars=5",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=3, pause_bars=10",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=3, pause_bars=15",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=4, pause_bars=5",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=4, pause_bars=10",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
loss_protection,159783.SZ,"max_losses=4, pause_bars=15",46.81903662000003,0.6130202901461801,-27.5582741818122,54.54545454545454,11,33 days
combined,159783.SZ,"trailing_stop_pct=0.05, max_losses=3, pause_bars=10",41.17195272000003,0.6371711753112398,-20.44023120326267,50.0,12,23 days
base,159715.SZ,"n1=10, n2=20",10.700843919999915,0.1744614832609755,-39.03506532166322,40.909090909090914,22,31 days
trailing_stop,159715.SZ,trailing_stop_pct=0.03,-2.429022519999999,-0.10162949508836797,-17.275153686061106,36.36363636363637,11,14 days
trailing_stop,159715.SZ,trailing_stop_pct=0.05,12.56136246,0.3470152508691009,-21.15611940412435,45.45454545454545,11,23 days
trailing_stop,159715.SZ,trailing_stop_pct=0.07,27.263691420000015,0.5743511691712583,-22.2394306230113,45.45454545454545,11,29 days
loss_protection,159715.SZ,"max_losses=2, pause_bars=5",50.86023345999998,0.797526553771235,-21.628504267278913,45.45454545454545,11,36 days
loss_protection,159715.SZ,"max_losses=2, pause_bars=10",50.86023345999998,0.797526553771235,-21.628504267278913,45.45454545454545,11,36 days
loss_protection,159715.SZ,"max_losses=2, pause_bars=15",50.86023345999998,0.797526553771235,-21.628504267278913,45.45454545454545,11,36 days
loss_protection,159715.SZ,"max_losses=3, pause_bars=5",50.86023345999998,0.797526553771235,-21.628504267278913,45.45454545454545,11,36 days
loss_protection,159715.SZ,"max_losses=3, pause_bars=10",31.468586579999958,0.6564467223957142,-23.75869475579975,40.0,10,34 days
loss_protection,159715.SZ,"max_losses=3, pause_bars=15",31.468586579999958,0.6564467223957142,-23.75869475579975,40.0,10,34 days
