ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
159922.SZ,combined,70.65436682000004,0.5760296616032583,-13.295171751964485,35.0,20,18 days 00:00:00,48.76543209876543,20,34,6,2,10,0.03
563800.SH,combined,4.198439699999908,0.30412829204089925,-7.30152553071528,37.5,16,18 days 00:00:00,83.12236286919831,14,20,6,2,10,0.03
159608.SZ,combined,-6.090862039999974,-0.26154819934658124,-14.970497462538912,50.0,16,13 days 00:00:00,30.04115226337449,20,40,14,2,10,0.03
159732.SZ,combined,23.55751906000001,0.5140442728561644,-23.30626814804858,39.130434782608695,23,13 days 00:00:00,42.38683127572017,20,40,8,2,10,0.03
159206.SZ,combined,16.749817060000023,1.1941501392946234,-10.796443977758209,60.0,5,17 days 00:00:00,38.75,20,30,14,2,10,0.03
520600.SH,combined,16.505233420000003,0.8286950977476282,-9.291839215513031,38.46153846153847,13,13 days 00:00:00,57.971014492753625,10,28,6,2,10,0.03
512980.SH,combined,20.92243534000003,0.3948872370727915,-21.279398178098486,36.36363636363637,33,12 days 00:00:00,55.349794238683124,12,30,6,2,10,0.03
510210.SH,combined,35.53867902000005,0.950656231182799,-11.052906997073952,50.0,12,34 days 00:00:00,58.43621399176955,20,40,14,2,10,0.03
561160.SH,combined,130.8673226000001,1.2388067892857193,-20.671778592610924,50.0,20,28 days 00:00:00,76.95473251028807,10,38,12,2,10,0.05
516160.SH,combined,487.8189817799997,0.22617247568994164,-17.201010515503047,47.82608695652174,23,24 days 00:00:00,76.13168724279835,20,36,6,2,10,0.05
159566.SZ,combined,88.12734751999993,1.1552869968437773,-16.36722295399643,47.368421052631575,19,25 days 00:00:00,77.61904761904762,18,36,12,2,10,0.05
159783.SZ,combined,110.48756158000008,1.139692058147331,-15.880857195249288,53.333333333333336,15,33 days 00:00:00,69.54732510288066,16,30,14,2,10,0.05
159715.SZ,combined,29.789285039999957,0.5332080197084991,-20.822436734633744,30.434782608695656,23,21 days 00:00:00,69.75308641975309,20,34,14,2,10,0.05
588170.SH,combined,0.9057260599999608,0.05558160352074327,-14.798449646242318,55.55555555555556,9,18 days 00:00:00,75.69444444444444,20,40,8,2,10,0.05
515070.SH,combined,83.89443507999992,1.0715735283530574,-25.071772099760604,43.75,16,24 days 00:00:00,54.73251028806584,20,40,10,2,10,0.05
159399.SZ,combined,6.18981237999993,0.5950194362565634,-6.225116373157514,62.5,8,27 days 00:00:00,84.7953216374269,16,32,12,2,10,0.05
159201.SZ,combined,10.634829339999978,0.9396290369298407,-7.666885779408128,50.0,12,19 days 00:00:00,90.05847953216374,8,20,8,2,10,0.05
588870.SH,combined,23.864859020000022,1.1511574674390617,-10.724067091683033,28.57142857142857,7,23 days 00:00:00,60.63829787234043,20,30,14,2,10,0.05
159366.SZ,combined,32.07423592000003,1.769868772471003,-9.432066172001885,50.0,4,31 days 00:00:00,62.142857142857146,18,34,14,2,10,0.05
589010.SH,combined,27.948661680000026,1.5701007917920182,-10.426826975229453,20.0,5,22 days 00:00:00,56.64335664335665,14,22,14,2,10,0.05
159922.SZ,combined,93.18869718000002,0.6697358072561207,-12.408128760614245,47.368421052631575,19,25 days 00:00:00,66.46090534979425,14,28,14,2,10,0.05
563800.SH,combined,14.99335489999994,0.9113355364981564,-6.731879900106885,50.0,12,26 days 00:00:00,84.81012658227847,18,38,14,2,10,0.05
