ts_code,strategy,return_pct,sharpe_ratio,max_drawdown_pct,win_rate_pct,num_trades,avg_trade_duration,exposure_time_pct,optimized_fast_period,optimized_slow_period,optimized_signal_period,max_consecutive_losses,pause_bars,trailing_stop_pct
588170.SH,loss_protection,7.4328360800000155,0.38214001473917686,-14.127155199999997,36.36363636363637,11,16 days 00:00:00,79.86111111111111,12,26,6,3,15,
515070.SH,loss_protection,91.79724180000008,0.8863898542008452,-33.2053518369245,37.5,16,43 days 00:00:00,93.00411522633745,20,40,14,3,15,
159399.SZ,loss_protection,5.3454376399999814,0.5122385001586973,-9.393944914361875,55.55555555555556,9,26 days 00:00:00,91.22807017543859,10,28,14,3,15,
159201.SZ,loss_protection,9.865637299999962,0.8694428139115559,-9.355629256927301,41.66666666666667,12,19 days 00:00:00,88.88888888888889,10,22,6,3,15,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,3,15,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,3,15,
589010.SH,loss_protection,24.309669600000017,1.0049732338971527,-23.987519263776523,50.0,4,29 days 00:00:00,56.64335664335665,16,22,14,3,15,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,3,15,
563800.SH,loss_protection,7.164180900000028,0.4606629880538629,-11.85816822292386,33.33333333333333,12,26 days 00:00:00,88.18565400843882,20,38,14,3,15,
159608.SZ,loss_protection,78.32711983999998,0.8558942669813255,-34.3153725851913,55.55555555555556,18,40 days 00:00:00,97.32510288065843,20,40,14,3,15,
159732.SZ,loss_protection,69.93725363999998,0.810235079379306,-24.839193244551193,45.0,20,33 days 00:00:00,88.47736625514403,18,40,12,3,15,
159206.SZ,loss_protection,12.30763904000003,0.6488860686198153,-17.711491190408722,40.0,15,16 days 00:00:00,96.875,8,20,8,3,15,
520600.SH,loss_protection,16.807464759999984,0.5627883792689107,-22.658856796551895,60.0,10,25 days 00:00:00,81.64251207729468,10,30,14,3,15,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,3,15,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,3,15,
561160.SH,loss_protection,117.60220690000006,1.0290646642936065,-22.91227308347159,44.44444444444444,27,27 days 00:00:00,98.14814814814815,10,24,12,3,20,
516160.SH,loss_protection,594.81668302,0.23795977720776426,-15.387497009902074,57.14285714285714,21,35 days 00:00:00,97.53086419753086,16,30,12,3,20,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,3,20,
159783.SZ,loss_protection,100.98456409999999,0.8902881831982516,-23.804611421887923,53.333333333333336,15,47 days 00:00:00,95.26748971193416,16,30,14,3,20,
159715.SZ,loss_protection,67.16534697999997,0.7896689249656209,-16.840026940958474,39.285714285714285,28,26 days 00:00:00,95.67901234567901,20,40,6,3,20,
588170.SH,loss_protection,11.973139139999967,0.5768431734473085,-16.48589166723915,57.14285714285714,7,23 days 00:00:00,75.69444444444444,12,40,14,3,20,
515070.SH,loss_protection,131.04771294000005,1.0947827072539125,-27.227635532118597,43.75,16,43 days 00:00:00,93.00411522633745,20,40,14,3,20,
159399.SZ,loss_protection,5.858521700000001,0.5623734946870645,-8.109052487676017,55.55555555555556,9,26 days 00:00:00,91.81286549707602,16,26,14,3,20,
159201.SZ,loss_protection,15.096597500000005,1.2849931457258963,-7.214562925605971,46.15384615384615,13,19 days 00:00:00,95.32163742690058,8,20,6,3,20,
588870.SH,loss_protection,37.14047492000005,1.309888075823833,-13.235922290023282,33.33333333333333,6,36 days 00:00:00,76.06382978723404,20,30,14,3,20,
159366.SZ,loss_protection,17.45087864000005,0.9924547708619457,-16.74065789320698,40.0,5,29 days 00:00:00,70.71428571428572,18,34,14,3,20,
589010.SH,loss_protection,24.309669600000017,1.0049732338971527,-23.987519263776523,50.0,4,29 days 00:00:00,56.64335664335665,16,22,14,3,20,
159922.SZ,loss_protection,104.90826997999996,0.6504766994911084,-19.64094864349334,40.0,15,47 days 00:00:00,95.06172839506173,20,40,14,3,20,
563800.SH,loss_protection,7.164180900000028,0.4606629880538629,-11.85816822292386,33.33333333333333,12,26 days 00:00:00,88.18565400843882,20,38,14,3,20,
159608.SZ,loss_protection,78.32711983999998,0.8558942669813255,-34.3153725851913,55.55555555555556,18,40 days 00:00:00,97.32510288065843,20,40,14,3,20,
159732.SZ,loss_protection,85.94902068,0.9278088169314762,-18.922332376771877,44.44444444444444,18,37 days 00:00:00,88.47736625514403,18,40,12,3,20,
159206.SZ,loss_protection,16.698843280000037,0.8365224265420397,-16.197913575348476,42.857142857142854,14,17 days 00:00:00,96.875,8,20,8,3,20,
520600.SH,loss_protection,20.359926620000003,0.6592224529619352,-19.479719568922583,42.857142857142854,14,21 days 00:00:00,91.78743961352657,12,22,6,3,20,
512980.SH,loss_protection,80.64996406000006,0.8930212374224086,-26.37589437856106,57.14285714285714,14,48 days 00:00:00,92.18106995884774,18,40,14,3,20,
510210.SH,loss_protection,40.45285025999996,0.912115592733635,-12.664969327629505,64.28571428571429,14,51 days 00:00:00,97.11934156378601,20,40,14,3,20,
561160.SH,loss_protection,118.03429090000009,1.041429503304007,-25.476040481235074,47.82608695652174,23,32 days 00:00:00,98.14814814814815,10,38,12,4,5,
516160.SH,loss_protection,502.44137779999977,0.22711807529965658,-17.46413286788755,52.17391304347826,23,32 days 00:00:00,97.32510288065843,20,34,8,4,5,
159566.SZ,loss_protection,103.39929295999994,1.1290606373835264,-15.05481382347046,55.55555555555556,18,35 days 00:00:00,98.80952380952381,14,40,14,4,5,
159783.SZ,loss_protection,109.77184043999996,0.9365714100039505,-23.8049835053426,56.25,16,44 days 00:00:00,95.26748971193416,16,30,14,4,5,
159715.SZ,loss_protection,40.21048263999999,0.5260393544726041,-33.11201726824987,36.0,25,29 days 00:00:00,95.88477366255144,20,36,14,4,5,
